qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1_sec,q2_sec,q3_sec
56,20,22,11,17,12,1:32.944,1:32.508,,92.944,92.50800000000001,
57,20,10,7,12,13,1:32.800,1:32.528,,92.8,92.52799999999999,
58,20,12,4,6,14,1:32.975,1:32.790,,92.975,92.78999999999999,
59,20,7,5,14,15,1:33.415,1:32.915,,93.41499999999999,92.91499999999999,
60,20,6,3,8,16,1:33.386,1:32.943,,93.386,92.943,
61,20,14,9,9,17,1:33.433,,,93.43299999999999,,
62,20,21,10,21,18,1:33.501,,,93.501,,
63,20,20,5,15,19,1:34.127,,,94.12700000000001,,
64,20,16,10,20,20,1:33.562,,,93.562,,
65,20,19,8,19,21,1:34.140,,,94.14,,
66,20,11,8,18,22,1:35.725,,,95.725,,
67,21,8,6,1,1,1:20.701,1:20.784,1:21.813,80.701,80.78399999999999,81.813
68,21,4,4,5,2,1:21.347,1:20.804,1:21.904,81.34700000000001,80.804,81.904
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058,81.52799999999999,80.584,82.05799999999999
70,21,9,2,4,4,1:21.423,1:20.597,1:22.065,81.423,80.59700000000001,82.065
71,21,1,1,22,5,1:21.366,1:20.825,1:22.096,81.366,80.825,82.096
72,21,5,1,23,6,1:21.430,1:20.817,1:22.231,81.43,80.81700000000001,82.231
73,21,17,9,10,7,1:21.494,1:20.984,1:22.429,81.494,80.98400000000001,82.429
74,21,15,7,11,8,1:21.158,1:20.907,1:22.529,81.158,80.907,82.529
75,21,2,2,3,9,1:21.466,1:20.815,1:22.542,81.46600000000001,80.815,82.542
76,21,12,4,6,10,1:21.409,1:20.894,1:22.699,81.40899999999999,80.894,82.699
77,21,22,11,17,11,1:21.548,1:21.049,,81.548,81.049,
78,21,6,3,8,12,1:21.690,1:21.117,,81.69,81.117,
79,21,18,11,16,13,1:21.757,1:21.211,,81.757,81.211,
80,21,10,7,12,14,1:21.427,1:21.230,,81.42699999999999,81.23,
81,21,3,3,7,15,1:21.472,1:21.349,,81.47200000000001,81.349,
82,21,7,5,14,16,1:21.540,1:21.724,,81.53999999999999,81.724,
83,21,14,9,9,17,1:21.810,,,81.81,,
84,21,20,5,15,18,1:22.108,,,82.108,,
85,21,21,10,21,19,1:22.516,,,82.51599999999999,,
86,21,16,10,20,20,1:23.224,,,83.224,,
87,21,19,8,19,21,1:23.318,,,83.318,,
88,21,11,8,18,22,1:23.496,,,83.496,,
89,22,13,6,2,1,1:25.994,1:26.192,1:27.617,85.994,86.19200000000001,87.617
90,22,5,1,23,2,1:26.736,1:26.290,1:27.808,86.736,86.28999999999999,87.80799999999999
91,22,1,1,22,3,1:26.192,1:26.477,1:27.923,86.19200000000001,86.477,87.923
92,22,8,6,1,4,1:26.457,1:26.050,1:27.936,86.457,86.05,87.936
93,22,9,2,4,5,1:26.761,1:26.129,1:28.390,86.761,86.129,88.39
94,22,17,9,10,6,1:26.773,1:26.466,1:28.417,86.773,86.46600000000001,88.417
95,22,4,4,5,7,1:26.836,1:26.522,1:28.422,86.836,86.52199999999999,88.422
96,22,15,7,11,8,1:26.695,1:26.822,1:28.836,86.695,86.822,88.836
97,22,2,2,3,9,1:27.107,1:27.607,1:28.882,87.107,87.607,88.882
98,22,14,9,9,10,1:26.939,1:26.520,1:29.959,86.939,86.52,89.959
99,22,3,3,7,11,1:27.367,1:27.012,,87.367,87.012,
100,22,22,11,17,12,1:27.355,1:27.219,,87.355,87.219,
101,22,18,11,16,13,1:27.428,1:27.298,,87.428,87.298,
102,22,20,5,15,14,1:27.442,1:27.412,,87.44200000000001,87.412,
103,22,10,7,12,15,1:26.614,1:27.806,,86.614,87.806,
104,22,6,3,8,16,1:27.547,,,87.547,,
105,22,12,4,6,17,1:27.568,,,87.568,,
106,22,7,5,14,18,1:27.621,,,87.621,,
107,22,21,10,21,19,1:27.807,,,87.807,,
108,22,16,10,20,20,1:28.325,,,88.325,,
109,23,13,6,2,1,1:15.190,1:15.110,1:15.787,75.19,75.11,75.787
110,23,8,6,1,2,1:15.717,1:15.404,1:15.815,75.717,75.404,75.815
111,23,1,1,22,3,1:15.582,1:15.322,1:15.839,75.582,75.322,75.839
112,23,5,1,23,4,1:15.295,1:15.389,1:16.165,75.295,75.389,76.16499999999999
113,23,9,2,4,5,1:15.977,1:15.483,1:16.171,75.977,75.483,76.17099999999999
114,23,3,3,7,6,1:15.935,1:15.287,1:16.548,75.935,75.287,76.548
115,23,4,4,5,7,1:16.646,1:15.827,1:16.852,76.646,75.827,76.852
116,23,15,7,11,8,1:16.306,1:15.598,1:17.203,76.306,75.598,77.203
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343,76.074,75.745,77.343
118,23,14,9,9,10,1:16.086,1:15.839,,76.086,75.839,
119,23,10,7,12,11,1:16.285,1:15.907,,76.285,75.907,
120,23,18,11,16,12,1:16.259,1:16.101,,76.259,76.101,
121,23,2,2,3,13,1:16.650,1:16.455,,76.65,76.455,
122,23,6,3,8,14,1:16.756,1:16.479,,76.756,76.479,
123,23,22,11,17,15,1:16.208,1:16.537,,76.208,76.537,
124,23,7,5,14,16,1:16.806,,,76.806,,
125,23,12,4,6,17,1:16.933,,,76.93299999999999,,
126,23,20,5,15,18,1:16.955,,,76.955,,
127,23,16,10,20,19,1:17.225,,,77.225,,
128,23,21,10,21,20,1:17.823,,,77.82300000000001,,
129,24,1,1,22,1,1:16.909,1:17.034,1:17.886,76.90899999999999,77.03399999999999,77.886
130,24,9,2,4,2,1:17.471,1:17.679,1:18.498,77.471,77.679,78.498
131,24,8,6,1,3,1:17.301,1:17.364,1:18.735,77.301,77.364,78.735
132,24,4,4,5,4,1:17.415,1:17.488,1:18.746,77.41499999999999,77.488,78.746
133,24,3,3,7,5,1:17.991,1:17.891,1:18.844,77.991,77.89099999999999,78.844
134,24,13,6,2,6,1:17.231,1:17.353,1:19.048,77.231,77.35300000000001,79.048
135,24,5,1,23,7,1:17.287,1:17.684,1:19.089,77.287,77.684,79.089
136,24,2,2,3,8,1:18.082,1:17.781,1:19.633,78.082,77.781,79.633
137,24,22,11,17,9,1:18.256,1:18.020,1:20.848,78.256,78.02,80.848
138,24,17,9,10,10,1:17.582,1:17.523,,77.582,77.523,
139,24,10,7,12,11,1:18.321,1:18.031,,78.321,78.031,
140,24,6,3,8,12,1:17.638,1:18.062,,77.638,78.062,
141,24,14,9,9,13,1:18.168,1:18.238,,78.168,78.238,
142,24,15,7,11,14,1:18.039,1:18.327,,78.039,78.327,
143,24,12,4,6,15,1:18.505,1:18.393,,78.505,78.393,
144,24,7,5,14,16,1:18.916,,,78.916,,
145,24,16,10,20,17,1:19.108,,,79.108,,
146,24,21,10,21,18,1:19.165,,,79.16499999999999,,
147,24,18,11,16,19,1:23.565,,,83.565,,
148,24,20,5,15,20,,,,,,
149,25,8,6,1,1,1:15.133,1:15.161,1:16.449,75.133,75.161,76.449
150,25,13,6,2,2,1:15.024,1:15.041,1:16.490,75.024,75.041,76.49
151,25,1,1,22,3,1:15.634,1:15.293,1:16.693,75.634,75.293,76.693
152,25,4,4,5,4,1:15.754,1:15.483,1:16.840,75.754,75.483,76.84
153,25,15,7,11,5,1:15.521,1:15.362,1:16.920,75.521,75.362,76.92
154,25,5,1,23,6,1:15.965,1:15.639,1:16.944,75.965,75.639,76.944
155,25,9,2,4,7,1:15.687,1:15.723,1:17.037,75.687,75.723,77.037
156,25,17,9,10,8,1:16.020,1:15.488,1:17.233,76.02,75.488,77.233
157,25,14,9,9,9,1:15.802,1:15.654,1:17.426,75.80199999999999,75.654,77.426
158,25,10,7,12,10,1:15.727,1:15.558,1:17.596,75.727,75.55799999999999,77.596
159,25,12,4,6,11,1:15.848,1:15.770,,75.848,75.77,
160,25,2,2,3,12,1:16.006,1:15.786,,76.006,75.786,
161,25,20,5,15,13,1:15.918,1:15.816,,75.918,75.816,
162,25,7,5,14,14,1:16.072,1:16.045,,76.072,76.045,
163,25,3,3,7,15,1:16.085,1:16.235,,76.08500000000001,76.235,
164,25,6,3,8,16,1:16.243,,,76.243,,
165,25,18,11,16,17,1:16.306,,,76.306,,
166,25,22,11,17,18,1:16.330,,,76.33,,
167,25,21,10,21,19,1:16.971,,,76.971,,
168,25,16,10,20,20,1:17.053,,,77.053,,
169,26,5,1,23,1,1:19.957,1:19.597,1:21.049,79.957,79.59700000000001,81.049
170,26,17,9,10,2,1:20.982,1:19.710,1:21.554,80.982,79.71000000000001,81.554
171,26,8,6,1,3,1:20.370,1:19.971,1:21.706,80.37,79.971,81.706
172,26,1,1,22,4,1:20.288,1:19.537,1:21.835,80.288,79.537,81.83500000000001
173,26,2,2,3,5,1:21.022,1:19.802,1:21.873,81.02199999999999,79.80199999999999,81.873
174,26,4,4,5,6,1:20.998,1:19.992,1:22.029,80.998,79.992,82.029
175,26,12,4,6,7,1:20.818,1:20.115,1:22.491,80.818,80.115,82.491
176,26,20,5,15,8,1:20.318,1:20.109,1:23.251,80.318,80.10900000000001,83.251
177,26,13,6,2,9,1:20.676,1:20.086,1:23.305,80.676,80.086,83.305
178,26,9,2,4,10,1:20.444,1:19.788,,80.444,79.788,
179,26,14,9,9,11,1:21.224,1:20.174,,81.224,80.174,
180,26,10,7,12,12,1:20.893,1:20.274,,80.893,80.274,
181,26,7,5,14,13,1:20.584,1:20.531,,80.584,80.531,
182,26,15,7,11,14,1:21.145,1:20.601,,81.145,80.601,
183,26,6,3,8,15,1:21.407,1:21.112,,81.407,81.112,
184,26,22,11,17,16,1:21.512,,,81.512,,
185,26,18,11,16,17,1:21.631,,,81.631,,
186,26,3,3,7,18,1:21.668,,,81.668,,
187,26,16,10,20,19,1:21.786,,,81.786,,
188,26,21,10,21,20,1:21.885,,,81.885,,
189,27,1,1,22,1,1:15.218,1:14.603,1:15.666,75.218,74.603,75.666
190,27,13,6,2,2,1:14.921,1:14.747,1:15.859,74.92099999999999,74.747,75.859
191,27,5,1,23,3,1:15.476,1:14.855,1:16.143,75.476,74.855,76.143
192,27,15,7,11,4,1:15.560,1:15.122,1:16.191,75.56,75.122,76.191
193,27,4,4,5,5,1:15.917,1:14.943,1:16.385,75.917,74.943,76.385
194,27,8,6,1,6,1:15.201,1:14.949,1:16.389,75.201,74.949,76.389
195,27,9,2,4,7,1:15.985,1:15.109,1:16.521,75.985,75.109,76.521
196,27,17,9,10,8,1:15.900,1:15.481,1:17.014,75.9,75.481,77.014
197,27,20,5,15,9,1:15.532,1:15.420,1:17.244,75.532,75.42,77.244
198,27,14,9,9,10,1:15.975,1:15.338,1:17.503,75.975,75.338,77.503
199,27,10,7,12,11,1:15.560,1:15.508,,75.56,75.508,
200,27,2,2,3,12,1:15.596,1:15.581,,75.596,75.581,
201,27,3,3,7,13,1:15.863,1:15.633,,75.863,75.633,
202,27,18,11,16,14,1:15.993,1:15.701,,75.993,75.701,
203,27,7,5,14,15,1:15.927,1:15.858,,75.92699999999999,75.858,
204,27,6,3,8,16,1:16.083,,,76.083,,
205,27,12,4,6,17,1:16.189,,,76.189,,
206,27,22,11,17,18,1:16.246,,,76.246,,
207,27,16,10,20,19,1:16.657,,,76.657,,
208,27,21,10,21,20,1:16.963,,,76.963,,
209,28,1,1,22,1,1:19.376,1:19.473,1:20.899,79.376,79.473,80.899
210,28,5,1,23,2,1:19.945,1:19.480,1:21.140,79.945,79.48,81.14
211,28,13,6,2,3,1:19.578,1:19.068,1:21.191,79.578,79.068,81.191
212,28,9,2,4,4,1:20.053,1:19.776,1:21.281,80.053,79.776,81.281
213,28,10,7,12,5,1:19.980,1:19.246,1:21.326,79.98,79.246,81.326
214,28,8,6,1,6,1:20.006,1:19.546,1:21.516,80.006,79.54599999999999,81.51599999999999
215,28,4,4,5,7,1:20.229,1:19.816,1:21.698,80.229,79.816,81.69800000000001
216,28,17,9,10,8,1:20.073,1:20.046,1:21.732,80.07300000000001,80.04599999999999,81.732
217,28,15,7,11,9,1:19.942,1:19.486,1:21.767,79.94200000000001,79.486,81.767
218,28,12,4,6,10,1:20.583,1:20.131,1:22.371,80.583,80.131,82.371
219,28,20,5,15,11,1:20.157,1:20.144,,80.157,80.144,
220,28,18,11,16,12,1:20.888,1:20.332,,80.888,80.332,
221,28,14,9,9,13,1:20.505,1:20.502,,80.505,80.502,
222,28,7,5,14,14,1:20.640,1:20.963,,80.64,80.963,
223,28,3,3,7,15,1:20.748,,,80.748,,
224,28,2,2,3,16,1:21.045,,,81.045,,
225,28,6,3,8,17,1:21.085,,,81.08500000000001,,
226,28,22,11,17,18,1:21.332,,,81.332,,
227,28,21,10,21,19,1:21.670,,,81.67,,
228,28,16,10,20,20,1:22.113,,,82.113,,
229,29,13,6,2,1,1:38.176,1:37.859,1:38.989,98.176,97.85900000000001,98.989
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199,98.464,97.95400000000001,99.199
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392,98.34700000000001,98.05,99.392
232,29,8,6,1,4,1:38.703,1:38.229,1:39.488,98.703,98.229,99.488
233,29,5,1,23,5,1:38.656,1:38.120,1:39.937,98.656,98.12,99.937
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142,98.14099999999999,97.842,100.142
235,29,15,7,11,7,1:37.948,1:37.928,1:40.309,97.94800000000001,97.928,100.309
236,29,2,2,3,8,1:38.738,1:37.859,1:40.631,98.738,97.85900000000001,100.631
237,29,3,3,7,9,1:38.595,1:38.336,1:40.721,98.595,98.336,100.721
238,29,7,5,14,10,1:38.622,1:38.417,1:40.750,98.622,98.417,100.75
239,29,6,3,8,11,1:38.667,1:38.428,,98.667,98.428,
240,29,4,4,5,12,1:38.268,1:38.435,,98.268,98.435,
241,29,10,7,12,13,1:38.532,1:38.499,,98.532,98.499,
242,29,17,9,10,14,1:38.559,1:38.515,,98.559,98.515,
243,29,12,4,6,15,1:38.787,1:38.744,,98.787,98.744,
244,29,18,11,16,16,1:38.880,,,98.88,,
245,29,14,9,9,17,1:39.235,,,99.235,,
246,29,21,10,21,18,1:39.268,,,99.268,,
247,29,22,11,17,19,1:39.811,,,99.811,,
248,29,16,10,20,20,1:39.943,,,99.943,,
249,30,1,1,22,1,1:46.887,1:46.088,1:47.338,106.887,106.088,107.338
250,30,13,6,2,2,1:46.873,1:46.391,1:47.678,106.87299999999999,106.39099999999999,107.678
251,30,5,1,23,3,1:46.812,1:46.037,1:47.815,106.812,106.037,107.815
252,30,8,6,1,4,1:46.960,1:46.298,1:47.992,106.96000000000001,106.298,107.99199999999999
253,30,2,2,3,5,1:47.419,1:46.311,1:48.315,107.419,106.311,108.315
254,30,4,4,5,6,1:47.154,1:46.491,1:48.504,107.154,106.491,108.50399999999999
255,30,17,9,10,7,1:47.270,1:46.814,1:48.736,107.27000000000001,106.814,108.73599999999999
256,30,9,2,4,8,1:47.093,1:46.494,1:48.763,107.093,106.494,108.763
257,30,7,5,14,9,1:46.777,1:46.544,1:48.951,106.777,106.544,108.951
258,30,20,5,15,10,1:47.152,1:46.804,1:50.319,107.152,106.804,110.319
259,30,15,7,11,11,1:47.400,1:46.949,,107.4,106.949,
260,30,12,4,6,12,1:47.052,1:46.965,,107.05199999999999,106.965,
261,30,10,7,12,13,1:47.359,1:46.995,,107.35900000000001,106.995,
262,30,14,9,9,14,1:47.132,1:47.018,,107.132,107.018,
263,30,3,3,7,15,1:47.503,1:47.429,,107.503,107.429,
264,30,22,11,17,16,1:48.153,,,108.15299999999999,,
265,30,18,11,16,17,1:48.211,,,108.211,,
266,30,16,10,20,18,1:48.226,,,108.226,,
267,30,6,3,8,19,1:48.268,,,108.268,,
268,30,21,10,21,20,1:48.447,,,108.447,,
269,31,20,5,15,1,1:35.464,1:35.837,1:37.555,95.464,95.837,97.555
270,31,5,1,23,2,1:35.214,1:35.843,1:37.631,95.214,95.843,97.631
271,31,17,9,10,3,1:36.001,1:36.306,1:38.117,96.001,96.306,98.11699999999999
272,31,7,5,14,4,1:35.543,1:36.175,1:38.445,95.543,96.175,98.445
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767,95.485,95.898,98.767
274,31,13,6,2,6,1:35.536,1:36.676,1:38.894,95.536,96.676,98.894
275,31,15,7,11,7,1:35.906,1:36.008,1:39.152,95.906,96.00800000000001,99.152
276,31,4,4,5,8,1:36.297,1:36.518,1:39.751,96.297,96.518,99.751
277,31,10,7,12,9,1:35.737,1:36.525,1:39.787,95.737,96.525,99.787
278,31,2,2,3,10,1:35.709,1:36.626,1:39.906,95.709,96.626,99.906
279,31,9,2,4,11,1:35.553,1:36.697,,95.553,96.697,
280,31,21,10,21,12,1:36.280,1:36.698,,96.28,96.69800000000001,
281,31,14,9,9,13,1:36.485,1:37.284,,96.485,97.28399999999999,
282,31,8,6,1,14,1:35.965,1:37.522,,95.965,97.52199999999999,
283,31,1,1,22,15,1:35.394,1:39.265,,95.394,99.265,
284,31,22,11,17,16,1:36.510,,,96.50999999999999,,
285,31,12,4,6,17,1:36.630,,,96.63,,
286,31,6,3,8,18,1:36.653,,,96.65299999999999,,
287,31,18,11,16,19,1:37.006,,,97.006,,
288,31,16,10,20,20,1:37.417,,,97.417,,
289,32,13,6,2,1,1:44.519,1:44.014,1:44.801,104.519,104.01400000000001,104.801
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465,104.501,104.932,105.465
291,32,8,6,1,3,1:44.282,1:44.232,1:45.617,104.282,104.232,105.61699999999999
292,32,9,2,4,4,1:44.740,1:44.519,1:45.779,104.74000000000001,104.519,105.779
293,32,5,1,23,5,1:44.311,1:44.207,1:45.873,104.311,104.207,105.87299999999999
294,32,2,2,3,6,1:45.548,1:44.520,1:45.964,105.548,104.52000000000001,105.964
295,32,20,5,15,7,1:45.042,1:44.261,1:46.244,105.042,104.261,106.244
296,32,10,7,12,8,1:45.184,1:44.441,1:46.328,105.184,104.441,106.328
297,32,3,3,7,9,1:45.103,1:44.429,1:46.611,105.10300000000001,104.429,106.61099999999999
298,32,6,3,8,10,1:45.127,1:44.826,1:47.547,105.12700000000001,104.826,107.547
299,32,15,7,11,11,1:45.642,1:45.038,,105.642,105.038,
300,32,18,11,16,12,1:45.660,1:45.133,,105.66,105.13300000000001,
301,32,17,9,10,13,1:45.493,1:45.212,,105.493,105.212,
302,32,14,9,9,14,1:46.028,1:45.298,,106.02799999999999,105.298,
303,32,4,4,5,15,1:44.971,,,104.971,,
304,32,12,4,6,16,1:46.037,,,106.037,,
305,32,7,5,14,17,1:46.389,,,106.38900000000001,,
306,32,22,11,17,18,1:46.583,,,106.583,,
307,32,16,10,20,19,1:47.940,,,107.94,,
308,32,21,10,21,20,,,,,,
309,33,1,1,22,1,1:18.071,1:17.462,1:18.404,78.071,77.462,78.404
310,33,8,6,1,2,1:18.160,1:17.733,1:18.644,78.16,77.733,78.644
311,33,5,1,23,3,1:18.220,1:17.360,1:18.821,78.22,77.36,78.821
312,33,4,4,5,4,1:18.290,1:17.871,1:18.852,78.28999999999999,77.871,78.852
313,33,13,6,2,5,1:18.110,1:17.287,1:18.874,78.11,77.287,78.874
314,33,9,2,4,6,1:18.684,1:17.931,1:18.979,78.684,77.931,78.979
315,33,15,7,11,7,1:18.501,1:17.541,1:19.026,78.501,77.541,79.026
316,33,10,7,12,8,1:17.945,1:17.670,1:19.118,77.945,77.67,79.118
317,33,20,5,15,9,1:18.559,1:17.714,1:19.638,78.559,77.714,79.638
318,33,7,5,14,10,1:18.593,1:18.102,1:20.167,78.593,78.102,80.167
319,33,14,9,9,11,1:18.303,1:18.187,,78.303,78.187,
320,33,12,4,6,12,1:18.300,1:18.274,,78.3,78.274,
321,33,17,9,10,13,1:18.372,1:18.354,,78.372,78.354,
322,33,6,3,8,14,1:18.640,1:18.594,,78.64,78.594,
323,33,3,3,7,15,1:18.740,1:18.672,,78.74,78.672,
324,33,2,2,3,16,1:18.835,,,78.83500000000001,,
325,33,22,11,17,17,1:18.882,,,78.882,,
326,33,18,11,16,18,1:19.100,,,79.1,,
327,33,16,10,20,19,1:19.163,,,79.163,,
328,33,21,10,21,20,1:19.910,,,79.91,,
329,34,1,1,22,1,1:35.566,1:34.947,1:36.303,95.566,94.947,96.303
330,34,8,6,1,2,1:35.983,1:35.355,1:36.645,95.983,95.35499999999999,96.64500000000001
331,34,13,6,2,3,1:35.971,1:35.135,1:36.889,95.971,95.13499999999999,96.88900000000001
332,34,4,4,5,4,1:35.769,1:35.461,1:36.927,95.769,95.461,96.92699999999999
333,34,5,1,23,5,1:35.623,1:35.216,1:36.930,95.62299999999999,95.21600000000001,96.93
334,34,17,9,10,6,1:36.238,1:35.686,1:37.083,96.238,95.686,97.083
335,34,2,2,3,7,1:36.224,1:35.403,1:37.201,96.22399999999999,95.40299999999999,97.201
336,34,20,5,15,8,1:35.752,1:35.386,1:37.685,95.75200000000001,95.386,97.685
337,34,15,7,11,9,1:36.104,1:35.715,1:37.934,96.104,95.715,97.934
338,34,7,5,14,10,1:36.239,1:35.478,1:38.885,96.239,95.47800000000001,98.88499999999999
339,34,12,4,6,11,1:36.029,1:35.722,,96.029,95.72200000000001,
340,34,9,2,4,12,1:36.503,1:35.814,,96.503,95.814,
341,34,10,7,12,13,1:36.210,1:35.937,,96.21000000000001,95.937,
342,34,22,11,17,14,1:36.640,1:36.079,,96.64,96.07900000000001,
343,34,3,3,7,15,1:36.434,1:36.210,,96.434,96.21000000000001,
344,34,14,9,9,16,1:36.731,,,96.731,,
345,34,6,3,8,17,1:36.863,,,96.863,,
346,34,18,11,16,18,1:37.053,,,97.053,,
347,34,16,10,20,19,1:37.730,,,97.72999999999999,,
348,34,21,10,21,20,1:37.739,,,97.739,,
349,35,13,6,2,1,1:11.830,1:11.875,1:12.368,71.83,71.875,72.368
350,35,15,7,11,2,1:12.226,1:12.107,1:12.737,72.226,72.107,72.737
351,35,8,6,1,3,1:12.083,1:11.950,1:12.825,72.083,71.95,72.825
352,35,1,1,22,4,1:12.213,1:11.856,1:12.830,72.213,71.856,72.83
353,35,5,1,23,5,1:12.366,1:11.768,1:12.917,72.366,71.768,72.917
354,35,4,4,5,6,1:12.214,1:12.090,1:12.967,72.214,72.09,72.967
355,35,20,5,15,7,1:12.390,1:11.845,1:13.082,72.39,71.845,73.082
356,35,2,2,3,8,1:12.371,1:12.026,1:13.297,72.371,72.026,73.297
357,35,7,5,14,9,1:12.498,1:12.075,1:14.105,72.498,72.075,74.105
358,35,10,7,12,10,1:12.223,1:11.909,1:14.230,72.223,71.909,74.23
359,35,12,4,6,11,1:12.348,1:12.137,,72.348,72.137,
360,35,17,9,10,12,1:12.409,1:12.289,,72.409,72.289,
361,35,9,2,4,13,1:12.381,1:12.300,,72.381,72.3,
362,35,14,9,9,14,1:12.690,1:12.717,,72.69,72.717,
363,35,22,11,17,15,1:12.548,1:13.139,,72.548,73.139,
364,35,6,3,8,16,1:12.800,,,72.8,,
365,35,18,11,16,17,1:12.810,,,72.81,,
366,35,3,3,7,18,1:13.002,,,73.002,,
367,35,21,10,21,19,1:13.426,,,73.426,,
368,35,16,10,20,20,1:13.508,,,73.508,,
369,36,8,6,6,1,1:26.644,1:25.644,1:26.072,86.644,85.644,86.072
370,36,4,1,1,2,1:26.697,1:25.326,1:26.493,86.697,85.326,86.493
371,36,2,2,9,3,1:26.895,1:25.358,1:26.556,86.895,85.358,86.556
372,36,1,1,2,4,1:26.674,1:25.577,1:26.755,86.674,85.577,86.755
373,36,9,2,10,5,1:26.696,1:25.882,1:27.347,86.696,85.882,87.34700000000001
